stream_ratio,OM_type,season,enr,year,added_N,added_P,added_NP,pct_N,pct_P,pct_C,CN,CP,NP,pct_Nse,pct_Pse,pct_Cse,CNse,CPse,NPse
8,LeavesB,Summer,TRT,YR2,155.6583022,34.06523846,10.11799625,0.795747459,0.041120825,42.10305423,69.25131897,3117.417207,44.31847385,0.137408126,0.008789039,1.764329338,15.5009237,764.6123618,3.71446184
8,LeavesB,Winter,PRE,PRE,106,2,117.3571429,0.765,0.037375246,44.00625,68.36637395,3333.288948,48.19922516,0.033380918,0.004036758,1.545108569,4.436665873,389.979455,4.409516103
8,LeavesB,Winter,TRT,YR1,115.1763591,91.10203678,2.799425519,0.80875,0.041775295,43.32625,64.74374377,2966.087845,44.65077834,0.063257905,0.005115496,1.887257967,5.19211903,397.4950232,2.501638111
8,LeavesB,Winter,TRT,YR2,151.2791297,36.71807914,9.122895958,0.772191049,0.053213409,37.94512866,57.69299825,1857.586652,32.17682976,0.036304533,0.002308408,1.615118709,2.19655932,92.13438574,0.866863975
8,Wood,Autumn,PRE,PRE,44,2,48.71428571,0.466666667,0.013631603,50.84,126.8733333,9746.321632,76.66114714,0.016666667,0.001010585,2.928145033,3.068280373,904.5099721,6.037169513
8,Wood,Autumn,TRT,YR1,152.2911872,53.4830864,6.305099854,0.4175,0.008679265,47.9375,137.185,17921.38178,125.8252265,0.034247871,0.00175712,0.66933269,11.67617624,6024.429079,32.05213992
8,Wood,Autumn,TRT,YR2,137.0431255,33.1585749,9.151558411,0.35,0.019480546,49.5,167.56,6696.489412,40.2121659,0.0195789,0.001525928,0.345518933,11.0146342,566.386367,2.597270447
8,Wood,Spring,PRE,PRE,171,3,126.2142857,0.3575,0.009230907,46.8375,154.6325,14078.22407,91.17006457,0.022867371,0.001305828,0.224958329,8.70688078,2335.883156,14.57386902
8,Wood,Spring,TRT,YR1,217.6510311,39.51128827,12.19756657,0.523333333,0.02129724,49.33,118.49,5034.026915,40.19248586,0.091347931,0.004397011,0.282901632,23.58848519,353.74697,11.82142133
8,Wood,Spring,TRT,YR2,154.6295942,39.31117674,8.709841064,0.29775,0.016839868,45.33825,187.5600161,7890.455251,43.95196534,0.035773302,0.003383367,0.562753554,27.59238745,1554.348378,10.75092456
8,Wood,Summer,PRE,PRE,104,2,115.1428571,0.42,0.01396025,47.4375,138.95,9264.011835,66.87901411,0.063900965,0.001927474,0.207138239,16.38807341,1187.298288,3.514429888
8,Wood,Summer,TRT,YR1,151.4413001,46.70572478,7.179726017,0.44,0.023838386,46.2975,126.5875901,5461.437529,42.18769923,0.039370039,0.00356029,0.456351016,14.38038008,1020.540068,2.940124335
8,Wood,Summer,TRT,YR2,155.6583022,34.06523846,10.11799625,0.46225,0.020493491,47.3675,126.3886812,6481.609118,51.55148794,0.060564532,0.003280857,0.679039211,17.5337323,1077.471443,5.492624474
8,Wood,Winter,PRE,PRE,106,2,117.3571429,0.26,0.009312681,48.93,221.84,13821.76528,62.85541819,0.016832508,0.000760447,0.49794578,12.89356105,1026.813009,5.967750732
8,Wood,Winter,TRT,YR1,318.1206232,51.42962689,13.69657907,0.29,0.01721945,46.945,212.5925,10611.95594,45.47078215,0.047258156,0.005345712,0.521767828,47.2310557,4436.009794,9.32452848
8,Wood,Winter,TRT,YR2,151.2791297,36.71807914,9.122895958,0.445,0.019105006,46.5575,122.1702899,6495.330216,52.99498669,0.008660254,0.002085711,0.341647357,2.018953643,617.3010235,4.3922595
16,Biofilm,Autumn,PRE,PRE,26,3,19.19047619,0.452044739,0.027227877,3.386908337,8.74441609,333.9251858,38.22938495,0.036482415,0.004381167,0.257786265,0.040409209,78.1893398,9.118294255
16,Biofilm,Autumn,PRE,YR1,333.1564597,40.71763054,18.11754711,0.601974418,0.040731748,3.584870208,6.795545876,223.4850238,34.12173493,0.053745619,0.006018174,0.76501246,1.094111118,28.63874133,4.029100332
16,Biofilm,Autumn,TRT,YR2,346.488029,52.39073608,14.6442587,0.881103005,0.066014974,4.998952152,6.520137359,198.5915333,30.93406754,0.100119003,0.011851966,0.775720346,0.397785459,6.27862991,2.651078114
16,Biofilm,Spring,PRE,PRE,57,3,42.07142857,0.444081667,0.031506923,4.846824158,11.75243423,357.1268975,30.09398841,0.129946593,0.007122501,1.9544152,1.922345315,97.28834893,4.919871155
16,Biofilm,Spring,TRT,YR1,427.6743881,56.26327882,16.83146286,0.838178624,0.045887081,5.166236862,7.240098223,303.5264121,41.83667412,0.099061287,0.008533163,0.510589709,0.179685304,26.94796949,3.357113876
16,Biofilm,Spring,TRT,YR2,377.0971263,52.1788825,16.00265739,1.601522502,0.110076647,11.70257231,8.895423242,230.3538017,26.22201878,0.978714423,0.039383312,6.920940454,0.290163159,53.24946916,6.667606766
16,Biofilm,Summer,PRE,PRE,24,2,26.57142857,0.53858273,0.044156835,3.99045133,8.634953259,280.8680995,32.25507572,0.054039853,0.010771143,0.412501787,0.102301053,78.91531963,8.63684302
16,Biofilm,Summer,TRT,YR1,436.9902432,56.75660401,17.04861081,1.217363567,0.082320261,8.952670728,8.565790799,277.6042268,32.43210338,0.172513389,0.009989236,1.488240268,0.520693689,18.74364484,1.107705531
16,Biofilm,Summer,TRT,YR2,372.7883514,54.48697779,15.14967345,0.559059867,0.031532468,3.346795874,6.988678547,280.0861143,40.10352596,0.036813051,0.002187275,0.219443706,0.159547891,30.49758949,4.420169905
16,Biofilm,Winter,PRE,PRE,28,2,31,0.425134813,0.023364477,6.121663047,12.27945017,579.0830709,39.34830422,0.144894855,0.004198924,4.731973996,6.630786978,405.5289726,8.286089472
16,Biofilm,Winter,TRT,YR1,398.3386468,44.41767947,19.85775902,0.416672757,0.025209863,2.695993059,7.567529347,279.464867,36.97086516,0.034368807,0.00264998,0.203608056,0.195115947,15.61404229,2.07420221
16,Biofilm,Winter,TRT,YR2,366.9094951,52.71868978,15.41089995,0.338231046,0.019434968,4.336262528,13.95444618,992.7284541,44.72534922,0.049590275,0.00446983,2.097839902,6.152727598,767.3329983,17.39241274
16,FBOM,Autumn,PRE,PRE,26,3,19.19047619,0.795,0.089511579,11.295,16.50868076,324.6445165,19.68185934,0.069940451,0.006777371,1.154487621,0.382292218,14.11684537,0.866423211
16,FBOM,Autumn,TRT,YR1,333.1564597,40.71763054,18.11754711,0.464666667,0.066198275,9.016333333,22.6773833,356.1577245,15.68124078,0.037706469,0.007199632,0.63327333,0.340998429,26.01207342,0.92165571
16,FBOM,Autumn,TRT,YR2,346.488029,52.39073608,14.6442587,0.5515,0.0733172,11.366,24.1602719,403.85704,16.7351578,0.080823367,0.008757354,1.579725029,0.535716401,40.19181563,1.66719404
16,FBOM,Spring,PRE,PRE,57,3,42.07142857,0.125,0.023475013,2.0525,19.1325,218.8655117,11.46272873,0.023979158,0.001942426,0.425291567,0.537050199,30.2318039,1.378773804
16,FBOM,Spring,TRT,YR1,427.6743881,56.26327882,16.83146286,0.28,0.025241442,3.04,11.14235458,268.4202327,24.6399221,0.085342447,0.007417317,1.507995358,2.051057119,48.74114295,2.354387223
16,FBOM,Spring,TRT,YR2,377.0971263,52.1788825,16.00265739,0.51,0.048914187,7.4025,16.5173285,360.8466811,22.43136225,0.129935882,0.012782941,2.122280122,0.874342399,52.27937882,2.436133975
16,FBOM,Summer,PRE,PRE,24,2,26.57142857,0.785,0.099167123,15.6475,23.27367117,411.5870348,17.65350694,0.032274861,0.005977741,0.742511223,0.296619534,27.43016403,1.011840897
16,FBOM,Summer,TRT,YR1,436.9902432,56.75660401,17.04861081,0.48325,0.059641775,10.5355,24.8585932,437.7909351,17.40858806,0.100899599,0.0090577,2.499133933,1.233292472,67.73241467,2.010967467
16,FBOM,Summer,TRT,YR2,372.7883514,54.48697779,15.14967345,0.2305,0.043076151,3.93,19.78432261,232.1633769,11.72847971,0.0695,0.011463208,1.251,0.394346235,13.2419687,0.451453075
16,FBOM,Winter,PRE,PRE,28,2,31,0.1075,0.025557183,1.82,19.855,191.766933,9.643019437,0.011814539,0.003563997,0.222073561,0.282267604,24.35217878,1.203847098
16,FBOM,Winter,TRT,YR1,398.3386468,44.41767947,19.85775902,0.450333333,0.04291086,10.07066667,26.1046983,524.0229488,20.05289362,0.060236571,0.008873464,1.333284957,0.184232763,45.74147556,1.630581279
16,FBOM,Winter,TRT,YR2,366.9094951,52.71868978,15.41089995,0.62,0.079080121,12.25425,23.00733019,397.7021863,17.26793475,0.062420616,0.005763492,1.353466129,0.376186373,17.79598005,0.525521519
16,Leaves,Autumn,PRE,PRE,26,3,19.19047619,0.58,0.036819531,49.22,99.33,4034.447052,39.64527534,0.023804761,0.006472229,0.344262497,4.582428396,1104.468378,8.939568063
16,Leaves,Autumn,TRT,YR1,333.1564597,40.71763054,18.11754711,0.7075,0.04043291,46.6775,77.545,3084.067083,40.07110686,0.039449335,0.004609621,1.221593051,4.392771525,316.7491768,4.28706658
16,Leaves,Autumn,TRT,YR2,346.488029,52.39073608,14.6442587,0.7,0.039045929,49.675,85.53,3375.56533,39.95082144,0.071414284,0.003556783,0.457502277,8.717362942,327.517138,3.200648735
16,Leaves,Spring,PRE,PRE,57,3,42.07142857,0.845,0.032704978,46.8725,65.1925,3801.358524,58.28963692,0.034761089,0.002899235,0.445147447,3.126439335,374.562119,4.539028183
